Id,Title,Merchant,Categories,Description,Terms,Coupon Code,URL,Status,Start Date,End Date,Offer Added At,Image URL
57785,Launching Nokia 6.1 @ only INR 16499,Tata Cliq,Electronics,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.tatacliq.com/nokia-6-1-32-gb-black-copper-3-gb-ram-dual-sim-4g/p-mp000000003014042,live,2018-05-18,2018-06-30,18/05/2018,https://cdn0.cuelinks.com/campaigns/2588/original/tata.png?1495706199
58257,"Buy JBL GO+ Portable Bluetooth Speaker at Rs.3,499",Harman Audio,Electronics,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://harmanaudio.in/jbl-go-plus-portable-bluetooth-speaker.html,live,2018-06-06,2018-06-30,06/06/2018,https://cdn0.cuelinks.com/campaigns/3404/original/unnamed.png?1510663185
58258,"Buy JBL T110BT In Ear Headphones at just Rs.1,899",Harman Audio,Electronics,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://harmanaudio.in/jbl-t110bt-in-ear-headphones.html,live,2018-06-06,2018-06-30,06/06/2018,https://cdn0.cuelinks.com/campaigns/3404/original/unnamed.png?1510663185
58260,"Buy Kodak 140 Cm (55 Inch) 4k Ultra HD LED Smart TV ( 55UHDXSMART,Black) at just Rs.41,999",Croma Retail,Electronics,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.croma.com/kodak-140-cm-55-inch-4k-ultra-hd-led-smart-tv-55uhdxsmart-black-/p/209876,live,2018-06-06,2018-06-30,06/06/2018,https://cdn0.cuelinks.com/campaigns/201/original/Croma_Retail.png?1493190022
58261,Get 10% off on all products,Mivi,Electronics,,,HURRAY,https://linksredirect.com/?pub_id=29755CL26816&url=https://mivi.in/,live,2018-06-06,2018-06-30,06/06/2018,https://cdn0.cuelinks.com/campaigns/3618/original/Mivi.png?1526627239
58309,"BuyWeston WEL3200S 80 cm (32) HD Ready SMART LED Television at Rs.13,971",Snapdeal,Electronics,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.snapdeal.com/product/weston-wel3200b-81-cm-32/637647327302,live,2018-06-18,2018-06-30,18/06/2018,https://cdn0.cuelinks.com/campaigns/119/original/SnapDeal.png?1520340610
58324,"BuyiPhone 8 Plus at Rs.74,845",Maple,Electronics,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.maplestore.in/products/iphone-iphone-8-plus/mapleretail/iphone-8-plus/pid-12683468.aspx,live,2018-06-18,2018-06-30,18/06/2018,https://cdn0.cuelinks.com/campaigns/3640/original/maplestore.png?1528371427
58325, Get Canon EOS 200D (18 -55mm IS STM lens) Camera at Rs.38990 ,Tata Cliq,Electronics,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.tatacliq.com/canon-eos-200d-18-55mm-is-stm-lens-camera/p-mp000000001798164,live,2018-06-21,2018-06-24,21/06/2018,https://cdn0.cuelinks.com/campaigns/2588/original/tata.png?1495706199
58326, Get Canon EOS 200D with (18-55mm/55-250mm) Camera at Rs.48999 ,Tata Cliq,Electronics,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.tatacliq.com/canon-eos-200d-with-18-55mm-55-250mm-camera/p-mp000000001778498,live,2018-06-21,2018-06-24,21/06/2018,https://cdn0.cuelinks.com/campaigns/2588/original/tata.png?1495706199
58327, Get Canon EOS 1300D (EF S18-55 IS II Lens) Camera at Rs.23999 ,Tata Cliq,Electronics,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.tatacliq.com/canon-eos-1300d-ef-s18-55-is-ii-lens-dslr-camera/p-mp000000000146016,live,2018-06-21,2018-06-24,21/06/2018,https://cdn0.cuelinks.com/campaigns/2588/original/tata.png?1495706199
