Id,Title,Merchant,Categories,Description,Terms,Coupon Code,URL,Status,Start Date,End Date,Offer Added At,Image URL
57793,Get upto 30% off on Footwears,Bata,Fashion,,minimum purchase is Rs.749,BATAFLAT20,https://linksredirect.com/?pub_id=29755CL26816&url=http://www.bata.in/,live,2018-05-18,2018-12-31,18/05/2018,https://cdn0.cuelinks.com/campaigns/757/original/bata.png?1362365679
57794,Get upto 25% off on Footwears,Bata,Fashion,,minimum purchase is Rs.1999,BATAXCLUSIVE25,https://linksredirect.com/?pub_id=29755CL26816&url=http://www.bata.in/,live,2018-05-18,2018-12-31,18/05/2018,https://cdn0.cuelinks.com/campaigns/757/original/bata.png?1362365679
57795,Get upto 20% off on Footwears,Bata,Fashion,,minimum purchase is Rs.1499 &amp; above,BATAFORMAL20,https://linksredirect.com/?pub_id=29755CL26816&url=http://www.bata.in/,live,2018-05-18,2018-12-31,18/05/2018,https://cdn0.cuelinks.com/campaigns/757/original/bata.png?1362365679
57796,Get upto 25% off on Footwears,Bata,Fashion,,minimum purchase is Rs.1499,BATACLASSY25,https://linksredirect.com/?pub_id=29755CL26816&url=http://www.bata.in/,live,2018-05-18,2018-12-31,18/05/2018,https://cdn0.cuelinks.com/campaigns/757/original/bata.png?1362365679
57797,Get upto 30% off on Footwears,Bata,Fashion,,minimum purchase is Rs.1499,BATASNEAKERS30,https://linksredirect.com/?pub_id=29755CL26816&url=http://www.bata.in/,live,2018-05-18,2018-12-31,18/05/2018,https://cdn0.cuelinks.com/campaigns/757/original/bata.png?1362365679
57798,Get upto 30% off on Footwears,Bata,Fashion,,minimum purchase is Rs.1699,BATAFANCY30,https://linksredirect.com/?pub_id=29755CL26816&url=http://www.bata.in/,live,2018-05-18,2018-12-31,18/05/2018,https://cdn0.cuelinks.com/campaigns/757/original/bata.png?1362365679
57799,Get upto 30% off on Footwears,Bata,Fashion,,minimum purchase is Rs.999 &amp; above,BATAHEELS,https://linksredirect.com/?pub_id=29755CL26816&url=http://www.bata.in/,live,2018-05-18,2018-12-31,18/05/2018,https://cdn0.cuelinks.com/campaigns/757/original/bata.png?1362365679
57800,Get upto 30% off on Footwears,Bata,Fashion,,minimum purchase is Rs.999,LATEST30,https://linksredirect.com/?pub_id=29755CL26816&url=http://www.bata.in/,live,2018-05-18,2018-12-31,18/05/2018,https://cdn0.cuelinks.com/campaigns/757/original/bata.png?1362365679
57801,Get upto 30% off on Footwears,Bata,Fashion,,minimum purchase is Rs.1499 &amp; above,LATEST30,https://linksredirect.com/?pub_id=29755CL26816&url=http://www.bata.in/,live,2018-05-18,2018-12-31,18/05/2018,https://cdn0.cuelinks.com/campaigns/757/original/bata.png?1362365679
57802,Get upto 20% off on Footwears,Bata,Fashion,,minimum purchase is Rs.1499,BATACASUAL20,https://linksredirect.com/?pub_id=29755CL26816&url=http://www.bata.in/,live,2018-05-18,2018-12-31,18/05/2018,https://cdn0.cuelinks.com/campaigns/757/original/bata.png?1362365679
