Id,Title,Merchant,Categories,Description,Terms,Coupon Code,URL,Status,Start Date,End Date,Offer Added At,Image URL
47711,Get a McChicken-McVeggie with Regular Coke free on purchase above Rs.275 or above,McDonalds,Food & Grocery,,,NW275,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.mcdelivery.co.in/,live,2018-05-03,2018-06-30,03/05/2018,https://cdn0.cuelinks.com/campaigns/765/original/MCDonalds.png?1504500381
47712,Get Free McFlurry-Soft Serve on Any Medium or Large Meal (Online Order),McDonalds,Food & Grocery,,,NWDD,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.mcdelivery.co.in/,live,2018-05-03,2018-06-30,03/05/2018,https://cdn0.cuelinks.com/campaigns/765/original/MCDonalds.png?1504500381
47713,"Get Free Saucy Wrap, McAloo, McEgg on Rs.199",McDonalds,Food & Grocery,,,NW199,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.mcdelivery.co.in/,live,2018-05-03,2018-06-30,03/05/2018,https://cdn0.cuelinks.com/campaigns/765/original/MCDonalds.png?1504500381
57813,Ramadan Special Collection: Get 15% Off,BehrouzBiryani,Food & Grocery,,,BHRZ,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.behrouzbiryani.com/,live,2018-05-21,2018-06-16,21/05/2018,https://cdn0.cuelinks.com/campaigns/2625/original/Behrouz-Biryani.png?1490871981
58137,Get a McChicken/McVeggie with Regular Coke free on purchase of above INR 375,McDonalds,Food & Grocery,,,NW375,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.mcdelivery.co.in/,live,2018-06-04,2018-06-30,04/06/2018,https://cdn0.cuelinks.com/campaigns/765/original/MCDonalds.png?1504500381
58172,HDFC Bank Get Rs.200 off on a minimum transaction of Rs.1000,Bigbasket,Food & Grocery,,TnC: First order only,BBHDFC200,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.bigbasket.com/,live,2018-06-06,2018-06-30,06/06/2018,https://cdn0.cuelinks.com/campaigns/2401/original/bb_logo.png?1449479807
58173,Axis Bank Get Rs.250 off on a minimum transaction of Rs.1000,Bigbasket,Food & Grocery,,TnC: First order only,BBAXIS20,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.bigbasket.com/,live,2018-06-06,2018-06-30,06/06/2018,https://cdn0.cuelinks.com/campaigns/2401/original/bb_logo.png?1449479807
58174,RBL Bank Get Rs.250 Instant Discount With RBL Bank Credit Cards,Bigbasket,Food & Grocery,,TnC: Valid on Wednesday &amp; Thursday only,BBRBL,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.bigbasket.com/,live,2018-06-06,2018-06-30,06/06/2018,https://cdn0.cuelinks.com/campaigns/2401/original/bb_logo.png?1449479807
58175,VISA Rs.200 off on a minimum transaction of Rs.800,Bigbasket,Food & Grocery,,TnC: First order only,BBVISA200,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.bigbasket.com/,live,2018-06-06,2018-06-30,06/06/2018,https://cdn0.cuelinks.com/campaigns/2401/original/bb_logo.png?1449479807
58192,Get Upto 58%   30% CB on Eats Outs,Nearbuy,Food & Grocery,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.nearbuy.com/,live,2018-06-06,2018-06-18,06/06/2018,https://cdn0.cuelinks.com/campaigns/2373/original/Nearbuy.png?1491896231
58201,"Any medium Pan pizza, anyday 50% off only on WOW TakeAways /Triple Treat Box Save up-to 40%",Pizza Hut,Food & Grocery,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://online.pizzahut.co.in/,live,2018-06-06,2018-06-11,06/06/2018,https://cdn0.cuelinks.com/campaigns/1653/original/Pizzahut_%281%29.png?1498201337
58202,"Any medium Pan pizza, anyday 50% off only on WOW TakeAways /Triple Treat Box Save up-to 40%",Pizza Hut,Food & Grocery,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://online.pizzahut.co.in/,live,2018-06-06,2018-06-11,06/06/2018,https://cdn0.cuelinks.com/campaigns/1653/original/Pizzahut_%281%29.png?1498201337
58203,Dont Cook Wednesday | Get 50% off on 2nd Pizza,Pizza Hut,Food & Grocery,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://online.pizzahut.co.in/,live,2018-06-06,2018-06-11,06/06/2018,https://cdn0.cuelinks.com/campaigns/1653/original/Pizzahut_%281%29.png?1498201337
58204,"Any medium Pan pizza, anyday 50% off only on WOW TakeAways /Triple Treat Box Save up-to 40%",Pizza Hut,Food & Grocery,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://online.pizzahut.co.in/,live,2018-06-06,2018-06-11,06/06/2018,https://cdn0.cuelinks.com/campaigns/1653/original/Pizzahut_%281%29.png?1498201337
58205,50% OFF on ordering 2 pizzas,Pizza Hut,Food & Grocery,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://online.pizzahut.co.in/,live,2018-06-06,2018-06-11,06/06/2018,https://cdn0.cuelinks.com/campaigns/1653/original/Pizzahut_%281%29.png?1498201337
58206,50% OFF on ordering 2 pizzas,Pizza Hut,Food & Grocery,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://online.pizzahut.co.in/,live,2018-06-06,2018-06-11,06/06/2018,https://cdn0.cuelinks.com/campaigns/1653/original/Pizzahut_%281%29.png?1498201337
58207,50% OFF on ordering 2 pizzas,Pizza Hut,Food & Grocery,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://online.pizzahut.co.in/,live,2018-06-06,2018-06-11,06/06/2018,https://cdn0.cuelinks.com/campaigns/1653/original/Pizzahut_%281%29.png?1498201337
58226,"Get Free McAloo Burger, McEgg on Rs.249",McDonalds,Food & Grocery,,- Not applicable if payment is through McGold Payment Gateways ,NW249,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.mcdelivery.co.in/,live,2018-06-06,2018-06-30,06/06/2018,https://cdn0.cuelinks.com/campaigns/765/original/MCDonalds.png?1504500381
